name_th,name_en,juristic_id,registration_type,company_status,registered_capital,number_of_years_in_operation,registration_date,phone_number,industry_group,business_size,tsic_code_year_of_update
,"Crist, Weimann and Turner",2175131512343,18278,1,32198862,2,31/07/2021,976-743-6997,65106,289196,55049
,"Beatty, Osinski and Jacobs",6043489349194,39200,1,29797831,0,24/08/2023,672-716-3563,2642,903329,21467
,"Haag, Keebler and Kiehn",1133603407756,71744,1,88501448,0,29/01/2023,326-895-8931,73689,624574,66248
,"Blick, Howe and Harber",6475378364053,55508,0,59312836,2,30/07/2021,888-458-6044,39337,341606,41802
,Hodkiewicz-Barrows,4750123813860,52324,0,74200529,1,14/11/2022,593-977-3984,66072,477968,27239
,Littel-Koss,6709920286721,60560,0,58014506,3,06/09/2020,552-707-8929,98135,911324,49034
,Hansen and Sons,3984497644244,87530,0,3496683,3,28/09/2020,460-506-1741,24938,507844,30855
,Schaefer-Haag,5915215516743,18763,0,72933382,3,27/08/2020,995-989-5894,26972,379076,24420
,Wolf Group,16719052797,45158,1,49327442,3,23/05/2020,397-679-0555,80252,578819,52148
,Effertz-Ullrich,5110329685647,52403,0,96296274,0,03/01/2023,942-484-1127,9616,766554,55126
,"Crona, Bosco and Wiza",4092151661608,38819,0,28898700,1,21/05/2022,103-728-7597,60243,161163,58722
,Jerde Inc,4891648068488,96668,0,12604759,2,27/10/2021,999-707-5211,14605,450249,71166
,"Beier, Rempel and Koch",4220380467502,70317,0,28528568,2,23/02/2021,518-276-2919,78442,685648,35994
,Tremblay Inc,831015591331,75286,0,56420442,1,28/10/2022,202-379-1093,19151,266940,56377
,Sauer-Price,4685239114805,59354,0,48570795,3,02/09/2020,217-200-0213,91834,206553,57180
,"Ernser, Parisian and Beier",8725314860880,66191,1,63270689,1,13/05/2022,938-946-0318,22054,937381,11490
,"Wilkinson, Bruen and Braun",1558468572076,29154,0,54771935,1,02/01/2022,681-175-8008,23551,791515,54765
,Durgan and Sons,3956632500955,67002,1,60925876,0,10/06/2023,341-808-4538,72665,543645,17864
,Smitham-Boyer,3843274423689,41531,1,16536609,1,05/06/2022,291-561-6269,29080,182684,81665
,Turcotte Inc,5084313232830,40375,1,54272474,3,18/02/2020,909-655-9014,38514,786592,7273
,Lind Inc,3446599076691,53946,1,74763461,2,04/09/2021,666-781-1765,66149,724556,65188
,"Connelly, Dibbert and Bashirian",409081718158,66855,0,40269282,3,28/07/2020,740-983-6986,34288,567923,17711
,Rogahn Group,6674287422839,41273,1,12345157,2,12/04/2021,921-153-3898,51729,364256,10101
,Bayer-Rempel,6547877984864,13969,0,20501970,1,21/05/2022,438-350-8632,54454,701694,39541
,Beahan and Sons,8339574790892,24662,0,38762283,2,15/03/2021,219-176-8201,3686,574384,80243
,Greenfelder Inc,275805776193,40679,0,47533102,3,28/06/2020,390-413-5391,48572,669697,18180
,Rempel-Durgan,6979341454917,19549,1,70006372,1,03/03/2022,570-570-1740,35053,915650,85594
,"Altenwerth, Glover and Barrows",1985553974952,91627,1,61546890,0,21/06/2023,881-663-6692,45867,105098,40187
,Mills Group,6707965166511,25439,1,75414340,3,23/01/2020,750-342-1075,49491,810946,42326
,Conn-Schowalter,8419766428668,97624,1,28789665,2,21/04/2021,778-687-6669,83059,434976,64560
,Fahey Inc,544408625384,77598,0,39576903,1,15/07/2022,515-887-7631,83018,760044,57630
,Kutch Inc,6217140948576,28212,0,24514339,1,25/09/2022,331-428-9178,14954,30677,31516
,"Grady, Medhurst and Cartwright",5299078554903,22342,1,70133199,3,12/08/2020,334-221-4042,70368,267208,41849
,"Raynor, Koch and Hodkiewicz",4010837755894,76897,0,94547029,1,22/07/2022,472-192-8869,61797,1642,15085
,"Schimmel, Little and Lebsack",7025615956603,89511,1,95864693,3,08/02/2020,543-496-7547,79975,786076,89766
,Schuppe-Nienow,3064069416607,89061,1,37332315,1,20/08/2022,673-733-1134,94189,258223,55355
,"Jacobi, Reichel and Shanahan",485992317543,97831,0,42405538,3,17/02/2020,623-259-0126,76952,823422,7704
,"Haag, Russel and Baumbach",8388106930380,95662,0,34730238,1,04/01/2022,343-202-0433,79645,550266,20937
,Rempel Group,7087397737232,83411,0,39445833,2,11/01/2021,606-658-8501,87769,755729,62838
,"Durgan, Hermann and Bode",4684753221524,87334,1,86346107,2,11/06/2021,885-536-9834,22107,111443,76018
,"Jerde, Schroeder and Beatty",3409057644971,44659,1,51132092,1,25/09/2022,908-816-1045,63378,474622,22668
,"Smith, Mitchell and Wilderman",7196177226664,68937,1,72872201,3,24/08/2020,556-997-7790,97125,113024,12112
,Rau and Sons,5736938043616,95257,0,9806361,2,22/11/2021,146-655-1107,71677,593552,25609
,Bayer and Sons,2058974281988,15503,0,38993048,3,16/09/2020,512-966-2231,56611,716296,6858
,Beier-Tremblay,7049845843396,70672,0,39796278,0,05/06/2023,207-538-9636,21231,817930,40685
,"Prosacco, Predovic and Gleason",9072684981383,29699,0,30012477,3,20/07/2020,629-807-4478,15901,95047,64473
,Boyle LLC,6978618163585,51261,1,70604182,3,06/06/2020,826-603-4768,38679,462823,18005
,"Breitenberg, Friesen and Bruen",9869561036756,80066,0,10923163,1,14/07/2022,455-353-9553,80262,916703,71996
,Pfannerstill Inc,6124856998549,36639,0,43295988,3,02/11/2020,609-520-6821,144,369012,86173
,"Hessel, Harris and Pagac",6285457310978,56511,0,47386012,1,27/09/2022,951-483-8263,23379,714400,89989
,"Barrows, Vandervort and Krajcik",8506513921991,65151,0,95419735,0,28/08/2023,260-695-3119,87613,912010,58552
,Christiansen LLC,9855709700891,96051,1,70758554,0,22/05/2023,736-946-0197,93398,948682,4782
,"Nicolas, McCullough and Abernathy",782163736550,14525,0,81433659,2,14/01/2021,232-741-6565,87271,317211,57584
,Ratke-Lindgren,4645294659867,28223,1,89414345,1,04/12/2022,903-132-3080,21180,240975,15670
,"Effertz, Streich and Crist",4778982300814,27255,1,90532402,3,09/03/2020,783-759-3325,31407,596757,52988
,Hoppe and Sons,9191632043008,46508,0,88224469,2,29/05/2021,403-542-6863,47524,841139,9269
,Senger and Sons,4989893739960,16716,0,6288245,2,12/05/2021,664-500-7662,9888,621779,4663
,Langworth-Kling,8289416557627,51085,0,94854828,1,14/12/2022,139-688-7115,45150,666932,64042
,Paucek-Morissette,7709003339265,81963,0,83887492,1,16/09/2022,820-676-5080,20680,934788,90755
,"Heaney, Hermiston and Beahan",909681190108,63201,1,95302690,1,03/03/2022,296-973-8784,35007,796311,78118
,"Roberts, Jacobi and Friesen",3761153272802,30668,0,81399990,3,07/01/2020,781-872-5994,25609,285373,17250
,Reichert-Shanahan,3315021520311,64071,0,76943546,3,04/06/2020,645-823-3462,5074,955824,28017
,"Graham, Thompson and Conn",3776368047461,67975,0,22037998,3,06/06/2020,115-879-9896,73929,890856,59904
,"Dickens, Ebert and Feil",8497115571391,48655,1,61891021,1,19/12/2022,504-368-4640,69703,182167,24222
,Schamberger LLC,7718026139532,99488,1,63590699,0,18/02/2023,963-460-6944,381,947739,51987
,Kohler LLC,6267248010191,97656,1,73446984,1,08/06/2022,775-693-5253,84376,9983,69169
,"Grant, Hilpert and Ryan",3892685246292,62029,1,45008500,1,06/09/2022,105-107-3563,94765,607663,99663
,Braun-Gottlieb,8595900068808,65314,0,10134062,1,29/05/2022,623-422-1654,18640,677232,13530
,"Koepp, Thompson and Aufderhar",4250445012760,31194,1,94353117,3,02/09/2020,156-728-6130,25164,347887,72595
,"Beatty, Hamill and Gusikowski",4234100523358,33499,1,52819707,3,18/02/2020,898-800-8977,29899,470852,34323
,Mayert Inc,4016178309485,81857,0,10210227,2,05/02/2021,465-674-8840,76374,151897,18486
,"Wilkinson, Bahringer and Treutel",2219833737989,82133,1,95356310,3,03/09/2020,711-213-7136,81628,956400,55525
,Crona Group,1075861491787,67761,0,52587025,1,23/10/2022,643-746-7018,76863,183166,52688
,Hamill Group,8413679584754,28147,1,48228220,2,15/01/2021,963-817-4041,71836,571766,53162
,Schaefer and Sons,6790198961562,41047,0,58388321,3,25/09/2020,800-549-0439,6631,680305,97514
,"Jacobs, Schaefer and Ferry",4105041423417,34238,1,10146860,1,19/06/2022,667-196-8667,33440,262386,99548
,"Nolan, Crooks and Reichel",8144934643381,34561,1,70937555,2,27/06/2021,496-182-1407,31302,476207,84234
,"Jacobi, Ledner and Walter",9491242967292,79348,1,23528843,1,13/01/2022,651-714-4648,55589,731117,16293
,Funk-Hansen,6219292725191,73163,1,17548051,1,02/05/2022,718-795-1697,18989,601926,82306
,Batz-Johnson,3400787080071,64030,1,59067304,2,01/07/2021,969-219-3289,54185,359018,25019
,"Ward, Bruen and Schmidt",8150395419097,18191,1,7943462,3,13/04/2020,515-406-1310,64950,22443,56691
,Gutkowski-Gerlach,5963530114881,64905,1,38573444,3,05/11/2020,163-243-1723,34388,490419,79522
,Towne Group,2215423755935,93320,0,9767550,0,19/03/2023,478-991-9827,80961,982674,90583
,Abshire-Kuvalis,6637815364581,98314,1,64796702,0,04/07/2023,968-128-3039,30603,940803,25462
,Grant Group,2163053935401,28524,1,31323042,3,27/01/2020,835-125-5263,39338,481776,36997
,"Stracke, Brown and Herzog",4073251584373,99930,0,30118314,0,24/07/2023,330-180-3668,39178,616129,49164
,Bahringer Inc,9921300196329,18857,1,91564728,0,07/05/2023,762-354-5179,33755,284899,74320
,Kris-Nolan,1364838766446,32254,0,33299942,2,05/07/2021,377-489-4380,55537,854546,39135
,Howe-Lubowitz,7583733816847,26123,1,81838582,3,09/06/2020,259-955-6852,10914,500279,60325
,Lubowitz Inc,56715422665,80846,1,18885442,0,27/06/2023,895-926-0950,47582,483410,61536
,"Skiles, Goldner and Ward",3534182555379,71404,1,54519427,1,01/10/2022,267-367-6647,94492,66344,26434
,"Gibson, Greenholt and Bernier",8674096830631,95593,0,32111142,1,12/11/2022,515-867-7641,87358,148561,73971
,"Jast, Satterfield and Senger",8574087297168,95896,0,23987799,1,06/04/2022,365-390-0305,34793,756761,88062
,"Howe, Sanford and Dach",1957864582928,32182,0,77809425,1,21/12/2022,867-775-1642,42158,724800,62409
,Considine and Sons,3787349929067,75506,0,37020326,3,15/03/2020,936-876-1040,35901,126599,84268
,Walker-Pouros,7021239123436,22714,0,92424348,0,03/02/2023,979-398-9891,32851,213327,26586
,"Runte, Wuckert and Schmeler",6625388750087,47402,1,67850816,2,12/01/2021,751-906-4633,78613,4972,31318
,Brown LLC,4560223398729,88866,1,8108586,3,21/03/2020,642-480-8853,86034,367042,83923
,Beahan Group,8796631990543,18713,0,5460390,2,30/11/2021,885-337-6164,75472,372614,34263
,Gutmann Inc,9909145344354,88640,1,78711509,2,28/09/2021,498-745-8259,3443,590343,54252
,Hessel-Johns,2017685184938,43289,0,76738617,1,18/08/2022,589-459-8627,34617,312198,27538
,Raynor Inc,4997814042578,95199,0,12233606,0,27/03/2023,805-261-7796,93705,627050,97343
,"Hyatt, Sawayn and Wisoky",6901089794494,34490,1,23630142,1,09/06/2022,177-895-0525,66164,502428,55503
,Hand Inc,7046655287880,59110,0,14588057,3,06/06/2020,876-546-9908,10810,171895,80654
,"Leffler, Wunsch and Witting",4641098711318,55066,0,25211554,3,09/07/2020,387-973-4153,65308,731889,38598
,Stoltenberg Group,2653285391870,13411,0,22430223,2,10/04/2021,764-223-7414,47341,561490,47750
,"Block, Abshire and McDermott",8220605956821,62848,0,2859824,2,12/01/2021,132-961-6785,35351,320676,16480
,"Lesch, Friesen and Reichert",6474570837337,50341,0,55487399,1,26/04/2022,546-116-5247,44623,696847,41708
,"Gerlach, Satterfield and Fisher",3119908518657,60480,1,87757689,0,28/06/2023,424-811-4521,58361,799169,46568
,Veum and Sons,7767545571941,35299,1,49704450,1,19/01/2022,340-662-6439,78682,42440,99247
,Labadie-Denesik,8041487608132,21283,1,85508719,0,15/04/2023,716-512-5187,71389,973645,99670
,Schumm-Lind,366881795976,49316,1,62185193,3,26/06/2020,594-224-4925,5829,751167,49266
,Price-Blick,5841165599501,20931,1,55436653,0,03/07/2023,594-431-4843,40058,811294,82928
,Kihn LLC,6860757045136,63903,1,12360761,0,27/05/2023,943-234-1597,58627,472295,9311
,Schroeder-Moore,2918263787371,29329,1,61307301,2,02/09/2021,110-521-5274,92775,150892,56611
,Blanda LLC,9576382856704,18471,1,51821395,3,09/05/2020,142-891-4298,97241,280767,60239
,"Kertzmann, Hoeger and Nienow",1095210829245,16224,0,77163353,2,23/12/2021,590-913-5021,98932,566884,61837
,"Wilderman, Grant and Ruecker",8404597276746,15579,1,71506093,1,30/01/2022,870-312-5283,99592,653332,97624
,"Schaden, Heaney and Armstrong",3155361440005,72741,0,87068652,1,02/12/2022,693-374-4576,93622,524643,56787
,Deckow-Strosin,381040952421,30886,1,22437453,0,13/03/2023,325-474-8848,67073,54708,50097
,"Hoppe, Padberg and Considine",7517270140386,18380,1,77584804,2,16/02/2021,452-871-4433,99938,932547,5149
,Farrell LLC,3714562199889,67613,0,85602031,2,22/08/2021,443-737-2173,97881,77704,73519
,Blick Group,8546739049290,92449,0,98836855,0,06/03/2023,406-422-9034,13539,277362,12539
,Runte-Dickens,6329077480728,45376,1,18761280,3,25/08/2020,347-823-4185,74007,389996,82451
,Harris LLC,9895715944201,48526,1,17830553,1,21/09/2022,739-794-0624,9939,526451,41267
,Bruen-Smith,9530066952930,87627,1,32623230,2,27/03/2021,131-896-9741,14858,115818,28770
,Langworth Group,691010901922,31450,1,20494049,0,14/06/2023,959-435-3478,24577,836129,27299
,Cole-Krajcik,3505070168102,62629,0,51736722,1,17/07/2022,785-550-7165,72669,875937,79375
,Thiel LLC,7303863455504,50778,0,68723264,1,12/02/2022,350-259-9616,35680,699314,31585
,"Turcotte, Klein and Davis",1562819163770,60824,0,90918157,2,01/08/2021,702-175-1399,54862,258419,58294
,"Koss, Pacocha and Hackett",9964599875959,92311,1,96851912,2,26/09/2021,301-862-2810,5916,277850,51012
,Pouros and Sons,737301869616,30324,0,10242080,1,25/02/2022,172-440-2974,25417,540890,31415
,Howe LLC,2723671027737,70369,0,42087628,2,05/05/2021,919-661-6041,49716,469647,3383
,"Ledner, Hirthe and Bartell",2654563756488,78115,1,78316003,1,01/02/2022,306-114-6187,58842,846902,72647
,Walker LLC,4993675326408,30121,0,35773521,2,16/11/2021,674-333-9178,95122,141567,73237
,Moore Group,304661076581,96003,0,44718545,2,24/10/2021,360-811-7206,90633,740490,38263
,"Konopelski, Fadel and Schoen",5173732266921,73785,0,93123772,1,06/10/2022,987-390-7573,35429,945229,88686
,"Kovacek, Ortiz and Cassin",4166977315045,88598,0,30270782,0,22/05/2023,464-907-4557,88612,194590,21098
,"Reinger, Hoeger and Veum",2998886626301,32262,0,86942351,3,22/08/2020,322-232-3606,99941,967131,54603
,Graham LLC,3023078497323,48869,0,90608899,1,03/10/2022,278-718-1494,76029,353785,73235
,DuBuque Group,2144801225893,81231,0,21338375,2,23/06/2021,676-606-6483,69005,156241,66491
,Turcotte Inc,5231523733273,92942,0,44373346,3,29/11/2020,193-616-6606,95482,249739,61258
,Kemmer Group,6375749014241,81781,0,98277789,1,21/01/2022,321-922-8527,83507,771496,95272
,Terry-Stanton,6563451180430,48690,1,20909341,2,04/01/2021,182-560-5858,86010,676204,56727
,"Kilback, Daugherty and Kuhlman",1008926271775,95151,1,43380686,0,14/05/2023,828-588-1893,32206,814927,86971
,Erdman Inc,3125039634483,74237,0,1009435,2,22/07/2021,265-562-4387,42593,269766,53909
,Fritsch-Parker,211257573201,83921,0,42251981,3,10/12/2020,126-271-6105,9157,636040,35899
,"Cassin, Ullrich and Parisian",6770983759407,49340,0,88900782,1,16/12/2022,395-783-3842,47415,462556,95267
,Robel-Stroman,9779681081966,68379,0,44235086,1,27/12/2022,536-152-6250,43803,325385,751
,Hessel Inc,3921704652338,68530,0,92769803,1,05/03/2022,111-750-6364,75018,273705,40534
,Jacobson Group,8612163706745,30287,1,51309455,1,15/07/2022,342-172-2569,60116,479942,6644
,Stanton LLC,4887708221925,61487,1,69996282,2,03/10/2021,770-428-6519,458,78523,6891
,"Haag, Cremin and Halvorson",3872828970263,54400,1,91597008,3,12/07/2020,598-496-0794,54495,761576,92099
,"Bashirian, Gislason and Dicki",6494044253473,40189,0,46127982,1,28/11/2022,436-127-7153,30501,853963,53327
,"Heller, Ziemann and Murray",8846530474236,39541,1,83834202,3,07/09/2020,267-444-2196,29931,983878,46662
,Erdman Inc,686189233601,14084,1,95892469,3,13/05/2020,533-974-4328,28111,698145,26370
,"Wiegand, Klocko and Johns",7157007285101,87334,1,32216242,0,14/06/2023,540-566-1136,7916,803169,10011
,Collier Inc,6542671409409,96094,0,54920159,1,09/12/2022,754-898-4729,30300,823145,97680
,Mayer-Kilback,4299986275860,15033,1,44068851,1,22/03/2022,674-739-2403,58479,66099,8944
,Fahey-Jacobi,1574994508453,20343,1,54505699,3,19/04/2020,684-353-4452,86122,349348,19189
,Prosacco and Sons,9284755836620,34174,0,39052755,2,07/03/2021,507-992-4550,25158,481941,1673
,"Huel, Jast and Collier",271346870869,28106,1,15122756,3,22/06/2020,804-863-9359,3733,828257,94038
,Rowe LLC,8834313040983,40521,1,93433894,0,20/08/2023,995-666-0141,45505,274579,88211
,Stanton-Howell,4266020423207,81440,1,41192601,1,26/06/2022,664-194-6353,80855,909496,36245
,"Schulist, Feil and Bauch",4477868752298,34438,0,34364076,2,19/09/2021,698-656-8460,51079,138962,74022
,Schuppe LLC,3172586888574,43527,0,30995507,2,25/11/2021,808-308-7498,32324,818547,80599
,Howe-Pfannerstill,7264462530993,12842,0,91402872,1,13/07/2022,514-326-6301,62648,704131,56157
,Wiza-Kirlin,6707746931238,88379,1,53913690,2,15/12/2021,289-285-8941,31981,713067,90239
,Dickinson-Rodriguez,8067798789017,40599,1,93423278,3,29/11/2020,165-281-1900,44563,842854,62986
,Goldner and Sons,6701498699512,70235,1,36952762,2,25/04/2021,829-899-0242,36990,977295,80063
,"Daniel, Lynch and Price",1529006712971,79747,1,58867067,2,22/09/2021,637-907-2083,14550,873133,53204
,Little-Kohler,4694549771529,22929,0,63083145,2,24/02/2021,172-417-0076,27049,39986,42778
,Schuster LLC,9409217699415,33409,0,31172338,3,14/01/2020,282-629-1551,7405,531794,12720
,Nienow Group,7712226564339,91654,0,54253362,2,16/03/2021,653-396-1251,26381,80868,20174
,"Zieme, Hills and Schneider",4496964937558,34296,0,41637952,0,23/08/2023,977-147-0570,80453,900112,72820
,"Kunde, Gutmann and Mraz",4200788496900,34206,1,65837034,3,12/05/2020,711-999-7095,69592,41432,70857
,"Quitzon, Labadie and Boehm",678048231530,65888,0,12479670,1,27/09/2022,325-893-1729,4409,347630,47797
,Skiles-Beahan,4623010456201,55728,0,4669312,2,15/05/2021,880-486-9857,54800,633673,50645
,"Harber, Nienow and Carter",4424039260509,87655,0,5022860,2,25/07/2021,709-285-8044,84370,756408,47667
,Hickle-Jacobson,8823886716947,16576,1,37402252,1,16/04/2022,424-218-1927,85711,293013,24056
,Ullrich LLC,2542712316912,52379,1,44321761,2,05/01/2021,862-994-2694,45193,860697,50541
,Shanahan-Toy,1654656976506,77347,0,44949161,1,08/02/2022,851-330-9425,75407,506926,19867
,"Oberbrunner, Leffler and Streich",8483842967992,18168,1,59369616,0,20/03/2023,630-361-0395,77545,373986,8962
,"Leffler, Stokes and O'Keefe",710694832971,30201,0,15984444,0,29/01/2023,380-979-2762,29184,456342,73071
,"Trantow, Hirthe and O'Keefe",384718393339,25356,1,93703414,2,12/04/2021,303-532-5460,16010,666713,20073
,Nader Group,2059922487250,77144,1,12834979,3,17/11/2020,420-829-4459,46582,819190,72886
,"Kozey, Stroman and Flatley",4235398750742,47002,1,84895166,1,26/09/2022,292-108-3566,78115,231135,44957
,Predovic Group,9098456390193,94534,0,55157870,1,28/06/2022,998-661-1419,14865,795095,57565
,Rice Inc,1639588704537,28291,1,85946514,2,09/03/2021,636-772-7774,22768,922001,8458
,Hudson Group,9185930597624,83066,0,75819353,1,29/07/2022,852-556-1036,88217,887351,82103
,"Tillman, Adams and Rodriguez",6198530690857,73144,1,28785486,1,10/05/2022,909-269-1536,67298,740409,54681
,"Thompson, Armstrong and Fritsch",9820874666102,13154,0,81431439,3,29/08/2020,496-820-2451,62250,649834,2996
,"McCullough, Cummings and Rath",8389318439146,80110,0,58162910,1,31/10/2022,160-751-8122,81314,109766,99390
,Kuhic Group,4175551677354,47965,1,8848996,0,25/08/2023,377-408-7441,76541,222191,78703
,Howell and Sons,1326349302391,86258,0,63084834,0,20/06/2023,534-542-9753,59384,828628,19056
,"Douglas, Kub and Hahn",1525917801503,15094,0,69309898,3,15/09/2020,508-148-7734,76789,463644,60006
,Hudson Inc,5434406001447,46722,0,83590207,2,13/09/2021,529-559-8320,79292,289170,48918
,"Swaniawski, Jacobi and Gibson",701219320623,59091,1,43441021,2,21/07/2021,437-463-2701,4139,340253,52793
,"Terry, Kunde and Schamberger",8577497181873,22039,1,98421489,2,14/03/2021,707-588-1131,60098,438518,92091
,Buckridge-Mueller,581940864881,75554,0,60702729,1,30/04/2022,888-969-8804,46969,689081,62628
,"Ortiz, Steuber and Turner",2699914841695,60409,1,55271793,0,04/05/2023,488-773-3701,83599,36208,97218
,"Tromp, Fay and Mayert",6757270613897,90477,0,61523420,1,26/09/2022,719-886-9852,24292,841971,46822
,Cremin LLC,3489153407578,55523,1,30068852,3,09/08/2020,350-424-5594,75798,864069,94872
,"Lang, Hane and Kerluke",5956620382203,20948,1,66406083,3,12/04/2020,823-471-9833,56533,35224,63345
,"Fay, Larkin and Lubowitz",7612241725702,43675,1,80313172,3,08/08/2020,688-719-1220,16930,677232,48844
,Christiansen Inc,6914113087597,78215,1,52427767,3,06/04/2020,169-372-3136,55043,953014,47173
,Harvey-Muller,7818378845618,37165,0,58889491,3,04/06/2020,924-327-5336,69790,615230,25528
,Grant-Heidenreich,9498251242988,17066,0,28286115,2,09/06/2021,312-660-4328,16240,736100,69002
,Padberg LLC,72462052798,74121,0,96580175,0,16/05/2023,277-174-6796,76576,50965,73421
,"Kshlerin, Considine and VonRueden",2748543369563,72097,1,86347190,2,11/12/2021,820-654-7101,63005,733855,27430
,Dietrich and Sons,3569956894034,32659,1,87680590,0,10/02/2023,983-575-6611,15852,486612,37534
,Schmitt-Stehr,5976348090329,73207,1,34192666,0,21/01/2023,539-137-5325,76989,591893,773
,"Lehner, Nolan and Thiel",6308929935293,23635,1,6418093,2,16/02/2021,528-206-4760,53617,527290,14403
,Kuhn LLC,8400348415310,12660,1,33577777,3,05/06/2020,203-849-4787,53362,439498,41084
,Steuber Inc,7621536265308,83605,0,82162264,3,19/06/2020,682-315-4104,9219,998410,84291
,"Langosh, Tillman and Hagenes",71659090133,56312,0,66590554,3,08/12/2020,989-770-3000,30147,115871,64805
,"Jast, Adams and Bednar",9850929098444,78696,0,78597838,1,05/08/2022,570-121-3895,87631,986961,92087
,Feeney-Crooks,9040866291008,97078,1,7353592,1,30/01/2022,812-723-4512,50170,779593,31828
,Reilly and Sons,377852915743,25226,1,11708085,3,09/07/2020,715-622-6888,74566,709432,51288
,Bode-MacGyver,7750210085264,79624,1,10063698,0,29/07/2023,523-654-4173,67825,971990,62027
,"Russel, Kling and Welch",9334421085482,40947,0,44040755,2,23/01/2021,987-587-7770,13163,317679,69544
,Hermiston-Wilderman,5041689997328,36733,0,55074388,0,27/04/2023,507-337-7577,99386,556728,47407
,Keeling LLC,2985652525781,50109,1,54091096,2,24/08/2021,716-959-1608,35664,849455,36976
,DuBuque-Ortiz,1904051040134,23369,1,36221636,3,21/04/2020,724-964-2484,97447,119370,19629
,Upton Group,5807619229486,87678,1,68544965,2,01/09/2021,310-524-2800,90366,719391,96902
,Lesch and Sons,6451800608754,77435,1,61488038,2,13/07/2021,986-320-5148,29737,864297,61229
,Terry-Harris,9820551140944,66674,1,78934446,3,19/08/2020,401-749-1739,71968,350133,69079
,"Smitham, Lakin and Wuckert",6374547087151,48906,1,68005730,3,17/07/2020,232-103-0116,67893,372456,66900
,Huel and Sons,3213087822314,83582,0,48308445,3,16/08/2020,308-467-8432,96345,38305,22540
,Spencer-Lakin,1716021857732,45987,0,89256915,1,01/01/2022,939-180-6103,56440,345768,70011
,Bergnaum-Von,4045270511007,14940,0,61504182,0,27/08/2023,493-614-3308,40067,866323,29143
,"Jaskolski, Kub and Bergnaum",8675130604715,77532,1,60778864,2,03/05/2021,842-139-6799,80821,189227,86431
,"Hirthe, Casper and Ritchie",7918797546535,47321,1,11040002,1,21/06/2022,155-355-1792,13404,433184,14175
,Cormier-Walker,986475714911,63912,1,1454684,0,15/02/2023,791-265-1949,4444,622253,66480
,Jacobs LLC,1162253595377,78382,1,17493559,3,23/06/2020,804-343-1717,85810,969424,6950
,"Hahn, Nolan and Oberbrunner",3829106242887,54366,1,1851752,3,03/07/2020,349-555-8328,94986,992372,55160
,Monahan-Reichel,1051488465105,97747,0,25290299,3,31/08/2020,233-322-9492,83176,666495,36501
,"Feeney, Franecki and Legros",9921581786043,36165,0,1784341,0,20/02/2023,813-638-2845,84340,846317,74024
,MacGyver-Wuckert,2026336845964,96813,0,56419096,3,21/11/2020,666-335-4415,5044,220817,42145
,"Volkman, Marvin and Jenkins",2985998792781,60995,1,45703421,0,25/04/2023,583-814-7579,99134,623978,24978
,Ankunding LLC,4794005273728,18092,1,16740787,0,20/01/2023,102-423-5143,96449,168451,4939
,Osinski Group,2456712623408,15158,0,28670588,2,11/11/2021,118-746-4541,69338,872582,89950
,Anderson-Homenick,9785665548681,52531,1,20511270,3,12/04/2020,612-618-6278,3542,794453,92703
,Franecki Inc,1786681268138,10733,1,15131022,1,13/05/2022,574-382-9261,38488,67295,83535
,Runolfsson-Klocko,8342846782720,72388,1,28134718,1,20/12/2022,623-775-1802,84541,398551,81258
,Mohr-Orn,7433647512100,69556,1,86535830,1,16/06/2022,486-151-1612,28464,857999,65616
,Trantow-Hessel,5231963682629,40382,0,29054041,0,09/06/2023,913-575-9561,62132,475477,21496
,Bogisich and Sons,6368407925848,34397,0,6863685,2,16/11/2021,812-366-4092,72564,808803,38854
,Bogan-Lemke,6344531188044,54379,0,16311686,2,23/12/2021,726-507-0887,20052,876469,86171
