name_th,name_en,juristic_id,registration_type,company_status,registered_capital,number_of_years_in_operation,registration_date,phone_number,industry_group,business_size,tsic_code_year_of_update
,Hettinger-Brown,8816175956495,15662,1,44449532,2,09/11/2021,616-979-9061,89960,470416,55723
,"Rau, Wiegand and Streich",3794812654599,73974,1,8334381,2,14/02/2021,742-509-7342,30029,244609,63831
,Medhurst-Hills,8831781231521,67916,1,69558010,2,08/04/2021,750-727-6462,4676,256544,94367
,Reinger-Marvin,3083891215090,32018,0,87803116,0,07/08/2023,538-841-9946,34378,258610,56115
,Hilpert Inc,4831583424090,36904,1,6812644,2,07/03/2021,735-494-9290,9718,77978,41288
,Heller-Waelchi,308678861997,78861,0,13338985,3,24/06/2020,497-790-4347,18171,472597,96218
,Wolff-Ratke,8111521639217,27187,1,98802750,3,01/09/2020,683-147-0740,24899,686935,8667
,"Morissette, Grady and Altenwerth",3408701797366,87287,0,23657435,2,27/06/2021,432-235-4055,28354,8156,2116
,Mann and Sons,531159295777,48698,0,73070034,0,10/06/2023,727-521-1481,86407,106951,60919
,Hickle LLC,4241155513557,75113,1,70985759,1,12/03/2022,268-574-5770,40141,943300,5959
,Gottlieb LLC,8346424394815,34415,1,71676178,1,03/10/2022,185-173-6502,19838,267056,76820
,DuBuque Group,2667207914240,12676,0,7649089,0,05/01/2023,749-429-1337,36127,829130,41688
,Gibson Inc,3369708425426,18763,1,47267963,1,15/03/2022,427-446-7309,80573,455724,41790
,Douglas LLC,4657841773169,23994,1,37800357,2,17/01/2021,338-156-5383,49261,163575,70519
,Cole-Champlin,3190654628382,96430,0,26211454,1,27/11/2022,991-233-3708,59330,171604,76530
,Kohler-Ledner,102868239276,85936,1,49698523,0,26/02/2023,779-953-8729,40370,768183,39831
,Feest LLC,6879000924837,96205,1,21228276,1,19/10/2022,682-406-9180,73246,743319,87944
,Feest-Beahan,5734300149993,39744,1,70323459,3,26/04/2020,647-460-8664,92163,405781,40120
,Parisian Inc,9584632777125,32649,1,59468854,3,20/05/2020,100-813-2011,56339,167498,31369
,Hagenes-Crist,9361992074196,49674,0,4317710,3,08/02/2020,869-106-6778,4350,906453,78982
,Wiza-Osinski,9566220259270,79476,1,48584551,1,25/01/2022,687-920-6865,5932,884076,79361
,Friesen Inc,552253889628,73090,0,91515695,2,14/02/2021,957-282-2337,3088,694197,91975
,"Cummerata, Bogan and Bartoletti",3477928366981,80415,0,50815053,3,10/02/2020,318-814-4234,61320,549859,24728
,Daugherty-Mraz,4291400461333,71382,0,55642136,3,19/03/2020,453-225-4185,47636,83462,71734
,Batz-Heaney,3667909087787,57163,1,39140831,0,17/08/2023,729-267-0186,92320,655393,76981
,Rippin-Gorczany,5163302821646,59125,0,38178373,0,07/03/2023,181-629-5439,94854,645335,8468
,"Wolff, Wiza and Walter",1514912376786,62273,1,58665588,1,17/01/2022,940-854-4860,73564,850708,87354
,Lesch-Keebler,800172821714,84744,0,1769232,1,28/03/2022,772-107-8735,65826,447973,91648
,"Batz, Schiller and Zulauf",5651727948433,83376,0,14396822,0,19/04/2023,323-831-7817,40903,57127,23643
,Carroll-Pacocha,3514702658133,58242,1,20885342,3,04/07/2020,770-537-1530,70634,295699,67860
,Halvorson-Stoltenberg,729073781607,70705,1,61035864,1,10/05/2022,195-371-5112,93423,332609,97583
,Ortiz-Ryan,1194830637077,96439,1,19670513,1,04/03/2022,858-129-3627,34156,198998,87301
,Huel-Gutmann,1482391940197,87555,0,24353312,2,27/09/2021,303-862-2513,28277,425552,72429
,Kiehn-Leannon,352813040653,11799,0,9201633,1,31/07/2022,187-764-8819,6984,65477,25526
,Schaefer-Moen,2782207581463,88591,1,84169697,2,21/10/2021,236-760-8839,21726,62938,97002
,Hackett Inc,1494950638751,99659,0,14559560,1,19/10/2022,629-882-2771,5343,851101,66222
,"Kunde, Emmerich and Buckridge",1290339985293,57320,0,53428654,3,08/12/2020,223-440-6385,24113,181360,52589
,Fisher-Rohan,4202417940430,31923,1,73177876,2,01/01/2021,538-440-5250,78598,287011,75861
,Koepp-Johnson,1990977165639,72875,0,98559098,1,28/03/2022,349-869-9951,40092,157295,79000
,Gibson-Schoen,1593043804983,67045,0,91979777,3,27/07/2020,492-734-4151,13713,805750,6467
,Gibson-Schaden,8384243205933,47872,1,56923642,3,08/03/2020,367-786-2103,55895,220863,47098
,Wyman-Legros,3443388873694,60661,0,74742281,3,19/04/2020,395-759-8919,24444,269648,48060
,"Kertzmann, Adams and McKenzie",4819412798597,33729,1,88802236,2,12/11/2021,671-397-1004,82299,146620,41253
,"Fritsch, Kub and Kautzer",3532318386757,73457,0,97759584,3,30/11/2020,480-604-8910,43463,736011,76244
,"Powlowski, Lebsack and Dare",7805487768437,51733,0,28133097,2,21/05/2021,805-255-1768,880,987331,73948
,Wyman Group,4223261083311,43230,1,79464070,1,05/11/2022,399-331-5491,25423,320035,73646
,Wisoky Group,3176201780136,98838,1,23549776,3,22/09/2020,830-968-6347,87185,332112,71220
,Reichert Inc,811472883033,77343,1,61608806,3,06/04/2020,660-430-0381,82689,27321,42484
,Kunde-Gleason,8577059939163,67399,0,8185558,1,15/05/2022,856-939-7573,71911,766201,42107
,"Strosin, Dibbert and Leffler",1222796920704,97521,1,83167993,3,11/02/2020,606-594-8094,32205,655703,27821
,Medhurst Group,1019208811140,24548,1,69867269,1,05/12/2022,684-999-3597,44479,777146,47544
,"Steuber, Gulgowski and Jakubowski",6577728962045,44074,1,53722474,3,07/07/2020,129-464-5035,34470,116092,34351
,Hyatt LLC,2038837404492,37897,0,66351411,3,12/02/2020,121-852-4932,91331,929994,57411
,"Hahn, Bergstrom and Abbott",5277812117010,66116,0,69636323,3,15/12/2020,928-414-8795,42587,980004,28568
,"Vandervort, Leffler and Hickle",5401500494417,57519,1,53781859,2,06/05/2021,989-108-9525,23080,989787,35718
,Aufderhar-Schaefer,9450070478055,24152,1,98141518,2,11/07/2021,722-706-9650,71805,278726,53657
,Steuber-Runolfsdottir,7207495197793,50105,1,64236134,0,16/04/2023,835-317-0834,43292,592255,20703
,Keebler and Sons,700695140160,32153,0,90319825,1,08/11/2022,145-757-4491,24286,142003,33834
,Botsford-Doyle,209297996784,98067,1,67937360,2,12/05/2021,869-710-5428,58986,777500,65922
,Rolfson Inc,6550611822717,85833,0,15872699,2,23/07/2021,263-842-1049,53120,616769,3100
,Wilkinson LLC,8826615859667,59661,0,93770597,3,29/11/2020,788-753-6833,58445,307424,88211
,"McKenzie, Daugherty and Ebert",6554973443735,86054,1,66314572,2,01/02/2021,593-432-3605,19223,240297,29882
,"Skiles, Leannon and Bradtke",891448139216,81781,0,75698580,1,24/10/2022,948-395-7540,73617,575508,39578
,Mann-Lebsack,8696796640976,66702,1,22655678,3,22/04/2020,893-939-4721,24339,902333,24997
,Schmitt-Tremblay,2494435905903,73806,0,29834854,3,11/04/2020,650-887-4054,93976,153616,78347
,Swaniawski Inc,4572863666264,14267,0,96048849,0,27/03/2023,188-601-0524,57320,898479,35920
,Russel-Goodwin,6516800313308,22826,0,14693795,1,04/05/2022,795-368-1366,40471,960192,39646
,Hirthe LLC,4923943635323,57503,0,6195597,2,20/03/2021,345-796-2457,96236,725804,6049
,Hirthe Inc,2848808747409,39215,0,43823191,1,09/10/2022,734-177-7419,14244,466366,152
,Herman-West,6070144732558,64750,0,76184767,3,08/02/2020,862-249-4156,84974,907648,8581
,"Windler, Sawayn and Daniel",7908176468320,48163,1,45146114,1,20/08/2022,583-272-9559,96470,68270,5559
,Dare Inc,7894459409751,96070,0,80576064,3,27/03/2020,250-964-0203,27688,525068,44129
,Lemke-Monahan,1198434543659,27362,1,40038397,2,17/02/2021,531-897-8814,89530,429196,6103
,Kassulke and Sons,4890313211489,87007,1,71990132,2,03/08/2021,954-456-7101,27058,43535,68713
,Kemmer Group,2335680338880,84915,1,8012050,2,26/12/2021,104-254-2564,32440,315720,33784
,"Kilback, Bosco and Jerde",868401608426,30358,1,94344013,2,24/02/2021,850-160-5738,9850,401335,50088
,Lubowitz Inc,6039146547576,86697,0,17505780,3,21/12/2020,383-131-1242,682,258918,31283
,"Zemlak, Koss and Hirthe",8786389583624,99943,1,56662967,1,01/09/2022,116-439-7154,46539,584232,78433
,"Pfeffer, Gleichner and Dach",9320744181489,65408,0,94887467,2,03/01/2021,499-449-4991,60409,185178,78139
,Carter-Kihn,5226844376152,29572,0,67191941,1,27/02/2022,818-601-8559,24626,525325,47002
,Spencer Inc,7345148003929,38290,0,1438586,2,11/03/2021,804-519-5518,96690,280363,96537
,"Auer, Mills and McClure",8356419843268,30257,1,76007599,1,07/12/2022,215-625-7001,33141,182712,17443
,"VonRueden, Hansen and Satterfield",2494381276634,27185,1,18351912,3,28/08/2020,579-994-0989,12312,559297,70320
,Hand-Stanton,1299574455568,59686,0,49892521,2,01/12/2021,140-318-6567,78126,124433,38453
,Yost LLC,7540666900219,27165,1,32796098,1,08/01/2022,555-573-1951,40620,448553,2166
,"Torp, Powlowski and Nolan",3514477881966,22647,1,83349521,2,29/04/2021,988-727-7833,96888,824001,55652
,Cole-Vandervort,2364134903173,80703,1,88636107,3,03/01/2020,300-827-6667,1281,564304,30291
,Smith-Collier,673316886900,92695,1,76397347,2,03/11/2021,644-710-4699,60400,380271,25513
,Batz Inc,630417297937,85201,0,43150108,1,26/11/2022,983-531-4392,32842,41610,20356
,"Strosin, Herman and Zemlak",8036108954480,96089,1,65817932,0,21/05/2023,803-920-4816,5007,635371,80668
,"Lemke, Fahey and Lang",2080571075820,66863,0,5916906,1,16/05/2022,528-255-1874,14721,212751,56370
,Carter Group,7993378406049,59257,1,98929246,1,03/09/2022,470-863-6775,64829,306559,2547
,"Lesch, Bashirian and Lockman",3219576386741,98661,1,49506725,3,18/02/2020,450-758-0077,95461,73189,5782
,"Hansen, Murazik and Daugherty",8521159960217,68087,1,32590702,2,16/08/2021,547-283-2929,17682,219607,92464
,Rau Inc,1723009056842,59057,1,11224244,0,03/01/2023,581-787-5441,23517,888404,11211
,"Cassin, Roob and Simonis",8885987169733,80908,1,39029919,3,20/08/2020,282-406-2929,16853,306484,82615
,Macejkovic-Lemke,5255169384076,96637,1,64597707,2,10/06/2021,140-624-8882,93693,731479,29059
,Cronin-Mosciski,9822030708487,68641,0,36951887,2,14/11/2021,727-707-3593,52653,281700,95923
,"Moen, Bartell and Oberbrunner",2419191022429,60120,0,25541107,1,05/07/2022,693-180-6423,37511,633826,69498
,Brakus-Jacobs,1874214449700,84580,1,74521462,1,04/12/2022,208-324-7288,64206,338414,31503
,Daniel-Towne,4703344296378,29094,0,85850211,1,24/08/2022,254-160-3086,63838,765029,2672
,Borer-Huels,1209167515159,93469,0,11083046,0,25/04/2023,733-569-1246,11620,556666,2466
,"Doyle, Feest and Williamson",568308106803,83554,1,84370527,0,12/04/2023,103-476-6461,94062,59624,94289
,Kuhn Group,3256311465296,30558,0,71876064,1,27/02/2022,463-479-0915,67401,835659,61846
,"Hammes, Powlowski and Bruen",1575204460105,88417,0,79052991,2,21/07/2021,280-349-3624,94926,151077,80155
,Cremin Group,4234731448351,31299,1,40647175,0,22/07/2023,137-689-4876,86700,680087,87645
,"Fritsch, Leffler and Hermann",7092446050868,99227,1,36012754,2,13/10/2021,641-319-6933,81518,485867,59316
,Sauer LLC,9002591894143,26689,0,36828559,2,09/06/2021,258-744-8451,22963,420677,41646
,Fahey-Walter,8479710811664,78116,0,29653748,2,29/07/2021,902-110-4355,77814,305937,68548
,Beier-Kunze,2384914041118,91787,1,73313625,1,01/05/2022,408-750-2578,54943,517431,24902
,Dickinson-Hudson,1806243030366,99334,1,32550311,3,02/06/2020,285-909-6206,54725,743735,90314
,Yost LLC,5730557169477,46762,0,50935384,1,10/09/2022,739-164-4549,48277,666753,46464
,McDermott LLC,296969408342,32061,1,77346993,1,22/11/2022,561-332-4160,21548,683874,7845
,Spencer-Ernser,2846624694628,72073,0,62376751,1,21/09/2022,446-412-1679,7676,755729,56001
,Hauck Group,4747088399037,66100,0,92054190,3,15/10/2020,763-317-4462,5271,52729,37268
,Roob and Sons,1327534449569,39495,0,27288278,2,07/04/2021,959-399-9022,81621,783732,74855
,Kuhlman Inc,7902695169244,96729,0,55451566,1,12/10/2022,497-146-2695,90531,93048,92615
,Medhurst Group,9760067650399,45584,1,29349239,3,13/03/2020,583-335-4467,98037,851449,93891
,"Feeney, Aufderhar and Witting",4407197728874,68405,0,82354286,2,29/08/2021,608-651-2842,57198,992734,12098
,"Howell, Abbott and Hickle",8178566529275,76753,0,63405196,1,10/04/2022,444-301-1025,5801,883775,80980
,Hettinger-Stanton,4182137604581,62768,1,57762091,3,21/12/2020,274-961-0276,88435,762137,14061
,"Bode, Brown and Ritchie",3525053891813,27216,0,4139052,2,10/12/2021,581-742-0497,80685,585218,62310
,Batz-Brown,1595716622955,49157,0,41718065,0,13/05/2023,468-791-0285,83635,162461,48987
,Hansen-Hagenes,332379316439,58073,0,23661745,1,14/05/2022,660-375-3123,98369,921706,53966
,Waters-Kreiger,8537177931415,15587,1,18753260,3,20/05/2020,817-187-8153,21272,116946,917
,Kunde Group,1827682686296,55000,0,71522325,0,29/04/2023,457-223-7834,43504,57321,21581
,Ullrich LLC,380504452398,41240,1,38441490,0,23/07/2023,113-436-8751,71941,969849,79550
,"Kihn, Pacocha and Ernser",7185426053143,98394,1,32875668,3,04/12/2020,651-254-2590,46251,484160,98569
,Hermiston Group,9951282270655,79214,0,80405193,1,05/06/2022,898-533-8268,47573,758515,41676
,"Torp, Torphy and Crooks",2307966548098,68135,0,2546058,2,29/11/2021,982-358-2971,38185,847682,18091
,"Rippin, Schmeler and Osinski",4254525228163,83095,0,80412882,1,30/11/2022,439-161-7316,76418,91119,77814
,Steuber LLC,9275291199905,91149,0,78644955,2,16/04/2021,683-288-4708,55329,286292,94364
,"Bayer, Heathcote and Boyer",2689123863985,71644,0,49513393,3,21/08/2020,735-709-4429,79769,921868,85793
,Waelchi Inc,8522671329964,65512,0,44694534,2,30/01/2021,273-514-7252,73470,746404,58975
,Sporer Group,3638156941037,29662,0,10498199,1,12/11/2022,491-889-9232,50671,40809,13378
,Walter and Sons,9705616821344,54499,0,2443320,3,17/11/2020,883-718-9991,12507,599345,91337
,"Bernier, Gutkowski and Wilkinson",6222873243898,27391,1,32982506,3,05/05/2020,389-318-2876,35491,3799,87368
,Hahn-Kassulke,9625986971822,49643,0,21790276,0,27/05/2023,839-229-7013,98364,963471,51915
,"Kshlerin, Halvorson and McGlynn",9297832220379,75873,1,50560509,0,16/03/2023,325-578-9760,79981,170635,20036
,"Cruickshank, Nolan and Reichert",570929736043,68289,1,33301312,2,11/07/2021,883-113-8520,18399,593725,45389
,Reichert-Keeling,5523013271990,97367,0,9599069,0,05/07/2023,361-378-2419,56785,637344,17520
,Howell Group,226623737743,72184,1,38488191,0,29/08/2023,741-645-3270,85773,809478,79255
,Herzog-Connelly,3778408407548,34689,0,55692192,1,05/03/2022,260-625-6367,3950,665222,12208
,Herman Inc,1243452417039,86794,0,66326525,1,04/01/2022,465-388-3696,22648,221682,93960
,O'Connell-Daugherty,7279648241342,67971,0,35493233,3,19/12/2020,975-162-3690,6131,359637,30388
,Walsh-Runte,4508977781647,66573,0,76749560,0,11/07/2023,142-268-2466,39366,568146,43119
,Legros LLC,109807774379,80785,1,55668754,1,27/09/2022,954-758-7242,50976,934229,86079
,Collins Group,9278591495957,53929,1,1637124,1,04/04/2022,512-530-9368,21781,728039,47671
,Bailey and Sons,6102199597211,47422,0,90120545,1,29/03/2022,448-244-1770,26616,365749,6607
,Gusikowski LLC,6982314084003,27930,0,95615037,2,10/05/2021,820-131-5724,35539,989117,96550
,"Hayes, King and Abbott",6073493859551,22222,0,7132776,2,07/08/2021,618-166-2560,59077,308597,55702
,"Bruen, Pfannerstill and Cruickshank",4003929116503,34646,1,32389202,2,19/08/2021,915-428-2710,42716,564364,18138
,"Bosco, Feil and Corkery",1080254594158,13672,0,1173909,0,30/08/2023,631-612-4502,18665,894178,92446
,Gorczany-Wuckert,7222411755775,83200,0,11567509,2,04/04/2021,578-521-8681,31851,41899,8827
,"Wilkinson, Russel and Leannon",1292794245008,23102,1,83554940,2,28/11/2021,227-242-7742,10250,342071,17470
,Corkery-Daugherty,5561755135513,24605,0,44297061,2,06/01/2021,338-712-7724,74131,253066,27385
,Blanda-Hane,2746809500407,47387,1,72796106,2,27/04/2021,594-454-9502,7961,732447,58584
,Stark Inc,4503934959105,64627,0,46740262,2,18/05/2021,955-537-3339,2510,388561,23539
,"Boehm, Quigley and Maggio",6997220327106,16355,0,20890501,2,27/05/2021,200-404-4148,36018,510880,76686
,Hahn-Huel,1172894448871,72668,0,86268616,1,17/06/2022,193-384-6907,20571,56529,30286
,Connelly Inc,2372497244333,96130,1,25349963,1,16/11/2022,422-690-4250,11187,137868,66353
,Hessel-Bergnaum,6240547084426,47688,0,63728183,2,06/08/2021,402-491-8122,11313,617592,79418
,Prohaska Inc,9143021390606,30335,1,30877633,1,07/05/2022,197-750-5319,83962,386977,53639
,Bins Group,1385379861423,18328,0,89808280,1,17/09/2022,604-662-8206,95276,846579,33008
,Hermiston-Hahn,3409596785585,56689,0,28847516,2,06/03/2021,562-946-2861,80674,655364,29567
,"Fadel, Sanford and Frami",4296885407987,49148,1,23471698,3,07/01/2020,346-153-7312,83414,99033,48973
,Grady LLC,2274152209556,35233,1,41066945,1,20/03/2022,501-805-1251,47775,823247,66506
,O'Kon-O'Kon,9240005195729,57265,0,15884792,0,29/01/2023,979-327-6346,6085,211188,56395
,"Lebsack, Bauch and Stehr",7912956568557,44555,1,41424146,1,19/07/2022,544-575-8682,8459,938409,50369
,"Treutel, Walter and Hauck",2327155009155,27405,1,70551856,2,13/02/2021,929-473-4234,6341,136726,33714
,Reilly and Sons,6737195070435,25782,0,28887207,2,05/04/2021,582-667-3235,83577,123292,33319
,Pollich Inc,3767667211360,49654,1,83506887,3,11/07/2020,520-178-6197,43677,666210,54691
,Koch Group,6703579335134,78029,0,37300474,2,19/05/2021,694-888-0161,19701,280381,13334
,"Weimann, Ankunding and Sauer",9742496959970,25069,1,99352211,0,09/02/2023,660-602-1215,13557,998223,3187
,Mills and Sons,8938429404478,10996,0,82855627,1,06/10/2022,636-900-3225,98083,165122,71294
,Larson Group,2417380601319,17652,0,27950612,0,27/05/2023,213-709-7094,48562,759966,33400
,"Beatty, Gleason and Flatley",8504525499243,15228,1,75149542,2,27/11/2021,407-319-3478,73015,992890,82263
,Schuppe-Boyer,9413282782201,62639,0,10583476,1,08/07/2022,621-169-2239,12986,134371,12573
,Casper-O'Connell,2507838839688,67527,0,81130083,3,11/02/2020,858-829-2447,12560,239757,74997
,Ziemann-Aufderhar,6236423355999,86444,0,41445534,1,09/07/2022,800-203-7715,21219,613715,12546
,"Senger, Bahringer and Adams",4510782999456,48993,1,92248579,0,06/06/2023,571-405-9689,13425,507285,93712
,Olson Inc,8342510773308,67094,1,22423751,0,15/08/2023,585-678-3367,32648,484943,54532
,"Murphy, Bergstrom and Barrows",6518127600761,73793,1,6730266,3,26/12/2020,890-990-4647,12104,518866,97142
,Upton and Sons,8726995477873,65740,0,21275509,0,01/05/2023,169-429-2958,1879,199471,6161
,Swift-Stroman,7488233098708,22409,0,50458400,3,20/03/2020,874-214-8501,67834,971413,75553
,"Walsh, Durgan and Okuneva",9830329444931,50122,0,37572031,2,06/05/2021,928-727-9267,47555,168261,64122
,Ruecker-Dibbert,2209463157867,25554,1,26156004,3,08/06/2020,562-240-6642,21476,171134,60114
,Hayes and Sons,5877393272214,92662,1,95443074,2,10/05/2021,739-566-8613,60909,88952,63498
,Stark and Sons,3141726442573,42167,1,23912158,1,29/08/2022,712-513-2476,752,725380,74779
,Halvorson-Hermiston,5953965811309,20421,1,63325321,3,08/01/2020,755-745-4974,98622,727602,16409
,"Weber, Luettgen and Marquardt",6256741710322,82866,1,13861119,3,29/05/2020,704-734-0664,44947,547673,18491
,"Rau, Huel and Kunde",2953215842396,41080,1,51318499,0,27/07/2023,656-315-7537,5163,48568,18732
,Ziemann LLC,96543836464,10667,1,15637265,2,12/07/2021,897-263-2009,55104,197964,29915
,Frami-Murazik,966394321025,10879,0,40240982,0,08/07/2023,290-915-3803,62578,755591,24604
,"D'Amore, Lynch and Turcotte",1165813072769,85289,0,72716511,3,02/02/2020,289-104-5190,15229,427372,83230
,Donnelly-Volkman,7419511999221,66092,1,22134802,2,27/02/2021,591-839-4166,21208,990821,58117
,Williamson LLC,9483415386491,54801,0,36168278,3,02/10/2020,443-669-2481,77226,782002,45017
,"Grady, O'Conner and Little",2673697853201,34839,1,59500764,1,26/10/2022,448-369-2414,75041,429229,67767
,Windler-Stokes,9923294881823,56688,0,75729202,0,25/04/2023,864-335-5922,89434,900371,37507
,Little Inc,2979441267026,13975,1,17132204,2,06/05/2021,972-752-0019,53162,152099,97026
,Terry-Schmeler,9838922290087,72887,0,60327638,1,22/03/2022,351-947-6015,24591,495164,55961
,Quitzon Group,6045503413148,98448,1,86329697,0,04/05/2023,190-792-6122,87549,569511,57313
,Nitzsche-Bailey,7873356395321,94033,1,67260767,2,21/08/2021,174-149-1352,27796,86780,36757
,Reinger-Hintz,3475343530137,57952,1,91884259,1,12/06/2022,654-676-4992,64816,14837,3463
,Jones Group,5085096585696,63287,0,51329175,3,16/10/2020,968-650-3534,69180,955038,30939
,"Crooks, Marquardt and Howell",6641025598587,37445,1,64311050,3,11/04/2020,280-259-4593,82959,258987,11073
,Treutel Group,1421054928501,83221,1,19016501,3,23/06/2020,606-539-4397,20919,799699,4684
,Cole Group,7938396433789,71112,1,63361031,3,02/01/2020,290-754-9713,50205,427869,95157
,"Mann, Will and Blanda",9267440650009,12068,0,54135724,1,20/12/2022,675-161-6792,25981,373699,50158
,Terry-Doyle,7899375906379,79544,1,93022793,0,09/03/2023,259-896-6864,23722,70150,51382
,Bernier Inc,2610109123807,28165,1,26468748,0,08/02/2023,990-816-0682,64295,481364,3999
,Roob Inc,1379688397004,46688,1,60828310,0,23/03/2023,939-310-5096,1813,125194,4151
,Steuber-Stoltenberg,2375933774958,30365,1,69827049,1,09/10/2022,311-449-8708,5933,792543,57177
,Prosacco Inc,2127241351950,30366,1,64013685,0,28/06/2023,864-481-1840,92726,238733,35068
,Abshire-Collier,4663522335728,49025,1,80566360,1,17/11/2022,638-391-0944,85331,520092,47168
,Ratke-Torphy,1267576920014,52679,0,43221556,2,10/11/2021,467-991-9007,36274,875432,65510
,Bogan-Upton,1784651949099,58474,0,65782589,1,23/04/2022,936-100-9735,51168,227600,22454
,"Koch, Runolfsdottir and Reynolds",1233484113437,15009,1,15119037,2,02/06/2021,741-810-9921,42222,665160,86968
,Reynolds and Sons,6619748904622,71232,1,29402726,1,07/03/2022,587-334-7685,56398,583232,53227
,Dach-Larson,4871695217792,77374,0,87160535,0,18/02/2023,785-134-6541,71285,28312,50581
,Rath-Wehner,1964698701332,71999,0,18064025,3,27/02/2020,761-793-2935,44753,289260,11636
,Bartoletti-Hegmann,9915869670243,54282,0,53416735,1,01/12/2022,683-348-3514,18764,375717,45687
,Homenick LLC,6966280543696,57168,0,90704902,1,16/10/2022,758-604-8989,67499,350998,8648
,Cronin Inc,7871022016785,99174,1,61575720,1,28/07/2022,305-681-6446,68274,437587,81473
,Aufderhar-Considine,1045039952060,85776,1,22721055,0,03/05/2023,688-763-4652,94779,648378,1935
,Moen Group,902940395700,95251,0,34789784,3,27/04/2020,829-275-5909,40652,192440,66651
,Hilpert and Sons,9223393616264,89865,0,25677689,3,14/11/2020,852-522-5617,55858,272306,59803
,"Barrows, Bartell and Ankunding",8235688853995,78671,1,44100911,1,12/05/2022,940-806-0922,81962,162091,47120
,Cartwright-Littel,5813143122670,27110,0,98704164,2,09/05/2021,219-325-5813,25112,897734,5304
,"Adams, Bechtelar and Graham",9915002712141,67537,0,81322155,2,11/07/2021,101-660-6135,96457,91192,73798
,"Douglas, Nienow and Shanahan",6034337593880,33165,0,99776724,3,03/07/2020,395-630-8311,98171,858214,82394
,"Heaney, Kovacek and Beer",1028356534919,29233,0,36621776,1,18/01/2022,229-428-3266,45653,352998,83432
,Dach-Thompson,8192170837236,25984,0,12712756,1,21/12/2022,335-314-5012,91007,403814,66225
,"McClure, Christiansen and Labadie",3445676476163,84127,0,64511838,0,26/08/2023,217-163-6380,79670,227846,27472
,Ratke-Waelchi,3182066195358,74690,1,39306254,3,22/01/2020,963-821-6847,23082,303188,99239
,"Hilll, Lubowitz and Bogan",2162843866553,53564,0,53338123,2,18/08/2021,909-619-7297,9922,708817,5565
,Emard Group,4966185922961,37455,1,51361876,3,27/01/2020,535-247-7778,31889,921374,3086
,McGlynn-Stroman,6783827854422,35981,1,3002408,2,27/09/2021,882-399-9947,58157,914312,603
,Stroman LLC,3233840689104,52904,0,64431579,0,23/02/2023,697-222-8569,147,682140,80445
,"Reichel, Schiller and O'Kon",3877263117633,44775,0,31687768,1,09/12/2022,668-257-5437,12245,664603,87765
,Hayes-Conroy,7213606931363,19351,1,99973622,3,27/04/2020,669-912-0835,8793,115863,9727
,McLaughlin-Bartoletti,7215985964191,55183,0,35792533,1,05/10/2022,254-401-7406,84034,848025,93406
,Runolfsdottir Group,4399738758275,21861,1,89976644,1,01/01/2022,874-591-3356,24754,961553,14581
,Schaden and Sons,6267066411626,46975,1,46100893,1,19/02/2022,903-444-9537,50326,891141,48885
,Monahan-Murray,305512691398,15636,0,44208408,2,18/04/2021,414-781-3624,44816,120627,94775
,Orn Inc,9495704316893,54291,0,58043338,2,03/10/2021,849-851-6973,58027,135188,18427
,Schamberger-Kassulke,6246903367560,78112,0,45404170,0,24/04/2023,375-750-6908,41939,338784,29686
,Cruickshank Group,6911903775794,37805,0,6350722,2,21/01/2021,951-124-7735,59386,371753,83121
,Lebsack Inc,2895468965143,80107,1,15111662,3,24/01/2020,703-957-7750,66869,657002,83327
,"Denesik, Bayer and Pagac",3935679727105,34074,0,68547211,2,08/04/2021,985-210-8045,80893,643630,91826
,"Hegmann, Balistreri and Bins",7201182511032,32263,0,25549408,0,30/06/2023,412-768-5786,21485,937338,69412
,Herzog Group,8364483539258,13876,0,85824746,3,04/10/2020,897-981-0761,2233,122738,35908
,Balistreri-Rosenbaum,7562209292966,33563,1,61674681,1,12/06/2022,777-474-8311,12185,800292,49246
